angry,dates,haha,like,love,messages,sad,wow,url
11,2017-10-06T01:02:07+0000,11,57,0,Colegio Abogados de SFM defiende jueza ejecución de la pena en #casoQuirinito http://bit.ly/2y3jhJk,0,0,http://bit.ly/2y3jhJk
2,2017-10-06T01:00:00+0000,44,432,20,World Finance reconoce a Banreservas como Banco del Año en tres categorías http://bit.ly/2xkPIPE,1,5,http://bit.ly/2xkPIPE
2,2017-10-06T00:53:00+0000,0,55,0,La UASD y la FED acuerdan normalizar las actividades docentes http://bit.ly/2xWAt3O,0,1,http://bit.ly/2xWAt3O
0,2017-10-06T00:40:00+0000,25,78,1,Ocupan cocaína en el AILA y miles de porciones en operativos realizados en todo el país http://bit.ly/2xkQLiK,0,11,http://bit.ly/2xkQLiK
0,2017-10-06T00:20:00+0000,2,13,0,Justicia suspende pleno Parlamento catalán que podría declarar independencia http://bit.ly/2hQh4uX,0,0,http://bit.ly/2hQh4uX
2,2017-10-06T00:00:00+0000,32,1929,84,Puerto Plata es el destino de mayor crecimiento en la llegada de turistas https://buff.ly/2xli6B3,0,15,https://buff.ly/2xli6B3
0,2017-10-05T23:50:00+0000,1,204,19,Dominicano entre ganadores primera edición de Innovadores menores de 35 Latinoamérica http://bit.ly/2xl28a9,0,4,http://bit.ly/2xl28a9
6,2017-10-05T23:40:00+0000,0,46,2,Precios de los alimentos suben en septiembre por aceites vegetales y lácteos https://buff.ly/2yLoin1,0,5,https://buff.ly/2yLoin1
0,2017-10-05T23:30:00+0000,0,181,0,Ascienden a seis los muertos causados por la tormenta Nate en Costa Rica http://bit.ly/2xkZlxY,67,46,http://bit.ly/2xkZlxY
0,2017-10-05T23:20:01+0000,0,14,0,"El Nobel de Literatura honra también al cine, al premiar a Kazuo Ishiguro https://buff.ly/2xjYgvc",0,0,https://buff.ly/2xjYgvc
0,2017-10-05T23:00:00+0000,2,46,10,Demandan inclusión en empresas privadas del 2% de personas con discapacidad https://buff.ly/2y20QV5,0,0,https://buff.ly/2y20QV5
0,2017-10-05T22:40:00+0000,10,70,1,#Argentarium: ¿Y si ahorro un peso diario? https://buff.ly/2xkL5VI,0,0,https://buff.ly/2xkL5VI
0,2017-10-05T22:20:00+0000,0,146,0,"Oro oculto en Suiza, clave en la caída de Nuzman y la red de Río 2016 https://buff.ly/2fVfIP9",0,0,https://buff.ly/2fVfIP9
